date,sum of orders,name,iteam
1/15/2019,2,Fabre Enterprises,RAK00001®
1/15/2019,4,Smith Inc.,RAK00001®
1/15/2019,3,Smith Inc. : Smith East,RAK00001®
1/15/2019,2,Smith Inc. : Smith West,RAK00001®
1/31/2019,24,Fabre Enterprises,BBP00001
1/31/2019,2,Fabre Enterprises,RAK00001®
1/31/2019,24,Smith Inc.,BBP00001
1/31/2019,4,Smith Inc.,RAK00001®
1/31/2019,16,Smith Inc. : Smith East,BBP00001
1/31/2019,4,Smith Inc. : Smith East,RAK00001®
1/31/2019,8,Smith Inc. : Smith West,BBP00001
1/31/2019,2,Smith Inc. : Smith West,RAK00001®
2/15/2019,3,Fabre Enterprises,RAK00001®
2/15/2019,4,Smith Inc.,RAK00001®
2/15/2019,4,Smith Inc. : Smith East,RAK00001®
2/15/2019,2,Smith Inc. : Smith West,RAK00001®
2/28/2019,24,Fabre Enterprises,BBP00001
2/28/2019,3,Fabre Enterprises,RAK00001®
2/28/2019,24,Smith Inc.,BBP00001
2/28/2019,4,Smith Inc.,RAK00001®
2/28/2019,16,Smith Inc. : Smith East,BBP00001
2/28/2019,5,Smith Inc. : Smith East,RAK00001®
2/28/2019,8,Smith Inc. : Smith West,BBP00001
2/28/2019,2,Smith Inc. : Smith West,RAK00001®
3/15/2019,4,Fabre Enterprises,RAK00001®
3/15/2019,4,Smith Inc.,RAK00001®
3/15/2019,5,Smith Inc. : Smith East,RAK00001®
3/15/2019,2,Smith Inc. : Smith West,RAK00001®
3/31/2019,36,Fabre Enterprises,BBP00001
3/31/2019,4,Fabre Enterprises,RAK00001®
3/31/2019,36,Smith Inc.,BBP00001
3/31/2019,4,Smith Inc.,RAK00001®
3/31/2019,24,Smith Inc. : Smith East,BBP00001
3/31/2019,6,Smith Inc. : Smith East,RAK00001®
3/31/2019,12,Smith Inc. : Smith West,BBP00001
3/31/2019,2,Smith Inc. : Smith West,RAK00001®
4/15/2019,3,Fabre Enterprises,RAK00001®
4/15/2019,4,Smith Inc.,RAK00001®
4/15/2019,6,Smith Inc. : Smith East,RAK00001®
4/15/2019,2,Smith Inc. : Smith West,RAK00001®
4/30/2019,36,Fabre Enterprises,BBP00001
4/30/2019,3,Fabre Enterprises,RAK00001®
4/30/2019,36,Smith Inc.,BBP00001
4/30/2019,4,Smith Inc.,RAK00001®
4/30/2019,24,Smith Inc. : Smith East,BBP00001
4/30/2019,6,Smith Inc. : Smith East,RAK00001®
4/30/2019,12,Smith Inc. : Smith West,BBP00001
4/30/2019,2,Smith Inc. : Smith West,RAK00001®
5/15/2019,4,Fabre Enterprises,RAK00001®
5/15/2019,4,Smith Inc.,RAK00001®
5/15/2019,6,Smith Inc. : Smith East,RAK00001®
5/15/2019,2,Smith Inc. : Smith West,RAK00001®
5/31/2019,36,Fabre Enterprises,BBP00001
5/31/2019,4,Fabre Enterprises,RAK00001®
5/31/2019,36,Smith Inc.,BBP00001
5/31/2019,4,Smith Inc.,RAK00001®
5/31/2019,24,Smith Inc. : Smith East,BBP00001
5/31/2019,7,Smith Inc. : Smith East,RAK00001®
5/31/2019,12,Smith Inc. : Smith West,BBP00001
5/31/2019,2,Smith Inc. : Smith West,RAK00001®
6/15/2019,8,Smith Inc. : Smith East,RAK00001®
6/30/2019,8,Smith Inc. : Smith East,RAK00001®
7/15/2019,7,Smith Inc. : Smith East,RAK00001®
7/31/2019,7,Smith Inc. : Smith East,RAK00001®
8/15/2019,6,Smith Inc. : Smith East,RAK00001®
8/31/2019,6,Smith Inc. : Smith East,RAK00001®
9/15/2019,7,Smith Inc. : Smith East,RAK00001®
9/30/2019,7,Smith Inc. : Smith East,RAK00001®
10/15/2019,8,Smith Inc. : Smith East,RAK00001®
10/31/2019,8,Smith Inc. : Smith East,RAK00001®
11/15/2019,10,Smith Inc. : Smith East,RAK00001®
11/30/2019,8,Smith Inc. : Smith East,RAK00001®
12/15/2019,7,Smith Inc. : Smith East,RAK00001®
12/31/2019,4,Smith Inc. : Smith East,RAK00001®
